"Uva", 712.23, 243
"Manzana", 143.05, 890
"Kinoto", 28.95, 220
"Durazno", 273.12, 648
"Frambuesa", 2006.51, 119
"Uva", 683.43, 360
"Kiwi", 446.14, 444
"Ciruela", 924.26, 891
"Banana", 65.06, 1150
"Ciruela", 980.13, 729
"Tomate", 761.25, 900
"Brocoli", 369.16, 448
"Kiwi", 466.26, 400
"Cereza", 1024.91, 164
"Apio", 54.98, 351
"Cebolla", 64.40, 824
"Cebolla", 72.75, 744
"Brocoli", 336.06, 344
"Ajo", 875.22, 102
"Champignon", 3616.12, 91
"Mandarina", 11.61, 1150
"Pomelo", 45.09, 801
"Berenjena", 45.13, 504
"Kinoto", 25.95, 230
"Repollo", 1.88, 560
"Acelga", 20.61, 810
"Manzana", 158.56, 970
"Higo", 2487.03, 95
"Palta", 1145.39, 444
"Pepino", 27.60, 580
"Morron", 3017.23, 504
"Cebolla", 59.91, 760
"Acelga", 23.66, 945
"Coliflor", 40.85, 560
"Choclo", 60.81, 333
"Papa", 10.50, 800
"Rabanito", 224.81, 267
"Rabanito", 246.00, 255
"Caqui", 840.50, 109
"Durazno", 276.59, 760
"Palta", 462.52, 480
"Banana", 64.14, 870
"Limon", 331.35, 560
"Higo", 2509.76, 86
"Mandarina", 18.36, 1070
"Repollo", 2.24, 616
"TomCherry", 506.23, 166
"Alcachofa", 167.79, 339
"Batata", 18.99, 1150
"Champignon", 3636.53, 114
"Tomate", 736.47, 729
"Kiwi", 431.78, 456
"Choclo", 55.58, 294
"Cereza", 1041.91, 194
"Naranja", 14.49, 990
"Higo", 2475.24, 98
"Coliflor", 32.96, 505
"Brocoli", 335.35, 372
"Ajo", 920.93, 112
"Esparrago", 618.60, 166
"Lechuga", 41.85, 963
"Brocoli", 367.37, 480
"Pera", 166.06, 810
"Pepino", 39.16, 490
"Durazno", 184.47, 768
"Pepino", 33.59, 495
"Papa", 27.08, 1120
"Melon", 94.63, 372
"Melon", 102.05, 436
"Tomate", 763.76, 900
"Pomelo", 67.72, 756
"Caqui", 809.96, 91
"Frambuesa", 2097.69, 99
"Pomelo", 54.47, 1017
"Limon", 306.36, 770
"Repollo", 2.13, 728
"Alcachofa", 148.23, 360
"Batata", 25.78, 1120
"Pomelo", 44.14, 918
"Pepino", 32.48, 480
"Durazno", 265.68, 696
"Lima", 1005.79, 178
"Zanahoria", 31.66, 690
"Frutilla", 288.66, 339
"Durazno", 156.91, 816
"Zuccini", 83.86, 486
"Papa", 19.32, 1060
"Esparrago", 637.86, 230
"Mandarina", 21.59, 840
"Banana", 62.49, 1060
"Durazno", 145.98, 744
"TomCherry", 545.52, 168
"Mandarina", 24.92, 1000
"Brocoli", 353.71, 356
"Lechuga", 43.47, 918
"Tomate", 734.43, 1062
"Melon", 106.74, 320
"Kiwi", 416.53, 352
"Alcachofa", 125.93, 297
"Palta", 521.90, 520
"Mandarina", 16.42, 1200
"Higo", 2442.08, 95
"Mandarina", 23.44, 820
"TomCherry", 615.09, 188
"TomCherry", 592.43, 228
"Limon", 333.22, 812
"Batata", 16.01, 1050
"Lima", 1205.10, 228
"Durazno", 168.03, 792
"Zuccini", 95.57, 696
"Esparrago", 632.35, 220
"Zanahoria", 20.74, 486
"Mandarina", 20.58, 1160
"Pera", 151.89, 1070
"Mandarina", 23.89, 890
"Lima", 1304.89, 192
"Palta", 496.85, 585
"Lechuga", 53.29, 1008
"Manzana", 153.15, 1140
"Durazno", 271.95, 672
"Pomelo", 47.99, 756
"Pomelo", 41.36, 891
"Naranja", 9.73, 880
"Batata", 33.95, 800
"Tomate", 744.47, 927
"Tomate", 745.19, 1008
"Choclo", 68.01, 276
"Kinoto", 24.17, 190
"Lima", 1388.13, 196
"Lima", 1335.97, 218
"Berenjena", 49.99, 594
"Pepino", 29.36, 450
"Morron", 2895.46, 708
"Zuccini", 71.81, 498
"Alcachofa", 158.99, 294
"Berenjena", 48.57, 612
"Naranja", 16.18, 1060
"Uva", 678.84, 294
"Rabanito", 227.18, 345
"Caqui", 843.53, 103
"Batata", 24.83, 1050
"Pepino", 39.99, 575
"Cereza", 1056.94, 176
"Mandarina", 16.97, 980
"Alcachofa", 120.58, 282
"Morron", 2888.86, 588
"Lima", 1185.09, 238
"Morron", 2940.12, 642
"Lima", 997.16, 164
"Kinoto", 26.18, 174
"Pepino", 30.60, 465
"Papa", 15.01, 1100
"Esparrago", 620.27, 216
"Tomate", 708.48, 747
"Limon", 337.09, 651
"Ciruela", 946.17, 909
"Esparrago", 634.05, 228
"Durazno", 184.69, 784
"Banana", 78.10, 1140
"Choclo", 47.25, 279
"Alcachofa", 154.63, 285
"Champignon", 3582.01, 115
"Alcachofa", 147.79, 285
"Pomelo", 33.08, 801
"Durazno", 153.86, 872
"Caqui", 799.84, 94
"Choclo", 50.05, 255
"Durazno", 268.22, 808
"Manzana", 130.27, 1060
"Mandarina", 25.83, 1010
"Coliflor", 32.62, 455
"Cereza", 995.56, 188
"Durazno", 155.89, 936
